Entity,Code,Year,gdp_share,capita,population
Slovakia,SVK,2016,1.156155,29236.92188,5431205
Slovenia,SVN,2016,0.91888475,34853.04297,2090020
Somalia,SOM,2016,3.29E-05,1081.763916,14292848
South Africa,ZAF,2016,1.0726829,13897.13965,56422272
South Korea,KOR,2016,2.6071384,39814.66016,51309984
Spain,ESP,2016,1.2090486,38477.57813,46473320
Sri Lanka,LKA,2016,2.4424407,12287.47266,21425494
Sudan,SDN,2016,2.829278,4677.160156,39377168
Sweden,SWE,2016,1.0415353,51334.43359,9953322
Switzerland,CHE,2016,0.70959735,68663.24219,8372902
Tanzania,TZA,2016,1.1401817,2441.636963,54401804
Thailand,THA,2016,1.4452711,16782.09961,70607032
Togo,TGO,2016,1.8645321,1976.807739,7661361
Trinidad and Tobago,TTO,2016,1.1248719,27281.85742,1469334
Tunisia,TUN,2016,2.3185298,11113.77441,11685666
Turkey,TUR,2016,1.726131,26385.00195,81019400
Uganda,UGA,2016,1.5676425,2088.647461,38748308
Ukraine,UKR,2016,3.6719813,11536.31641,44833568
United Kingdom,GBR,2016,1.8437858,45712.78516,65655204
United States,USA,2016,3.2914166,59112.24219,327210208
Uruguay,URY,2016,1.854261,22724.02148,3413768
Vietnam,VNM,2016,2.4429607,6767.778809,93126528
World,OWID_WRL,2016,2.2245953,15803.52832,7513474048
Zambia,ZMB,2016,1.5319215,3467.887451,16767758
Zimbabwe,ZWE,2016,2.1981726,3678.217041,14452705
