Entity,Code,Year,military_share,gdp_capita,population
Rwanda,RWA,2016,1.2087187,1.2087187,1.2087187
Saudi Arabia,SAU,2016,9.8497868,9.8497868,9.8497868
Senegal,SEN,2016,1.7203158,1.7203158,1.7203158
Serbia,SRB,2016,1.8814355,1.8814355,1.8814355
Seychelles,SYC,2016,1.2872616,1.2872616,1.2872616
Sierra Leone,SLE,2016,0.81433451,0.81433451,0.81433451
Singapore,SGP,2016,3.3544827,3.3544827,3.3544827
Slovakia,SVK,2016,1.156155,1.156155,1.156155
Slovenia,SVN,2016,0.91888475,0.91888475,0.91888475
Somalia,SOM,2016,3.29489E-05,3.29489E-05,3.29489E-05
South Africa,ZAF,2016,1.0726829,1.0726829,1.0726829
South Korea,KOR,2016,2.6071384,2.6071384,2.6071384
Spain,ESP,2016,1.2090486,1.2090486,1.2090486
Sri Lanka,LKA,2016,2.4424407,2.4424407,2.4424407
Sudan,SDN,2016,2.829278,2.829278,2.829278
Sweden,SWE,2016,1.0415353,1.0415353,1.0415353
Switzerland,CHE,2016,0.70959735,0.70959735,0.70959735
Tanzania,TZA,2016,1.1401817,1.1401817,1.1401817
Thailand,THA,2016,1.4452711,1.4452711,1.4452711
Togo,TGO,2016,1.8645321,1.8645321,1.8645321
Trinidad and Tobago,TTO,2016,1.1248719,1.1248719,1.1248719
Tunisia,TUN,2016,2.3185298,2.3185298,2.3185298
Turkey,TUR,2016,1.726131,1.726131,1.726131
Uganda,UGA,2016,1.5676425,1.5676425,1.5676425
Ukraine,UKR,2016,3.6719813,3.6719813,3.6719813
United Kingdom,GBR,2016,1.8437858,1.8437858,1.8437858
United States,USA,2016,3.2914166,3.2914166,3.2914166
Uruguay,URY,2016,1.854261,1.854261,1.854261
Vietnam,VNM,2016,2.4429607,2.4429607,2.4429607
World,OWID_WRL,2016,2.2245953,2.2245953,2.2245953
Zambia,ZMB,2016,1.5319215,1.5319215,1.5319215
Zimbabwe,ZWE,2016,2.1981726,2.1981726,2.1981726
